code,course,university,stream,colombo,gampaha,kaluthara,matale,kandy,nuwara_eliya,galle,matara,hambantota,jaffna,kilinochchi,mannar,mallaitivu,vavuniya,trincomalee,batticaloa,ampara,puttalam,kurunegala,anuradhapura,polonnaruwa,badulla,monaragala,kegalle,ratnapura,course_code,uni_code,subjects,medium,degree,duration
001A,MEDICINE,university_of_colombo,biological_science,2.37,2.37,2.3809,2.4415,2.5094,2.8086,2.3865,2.3706,2.4802,2.3703,2.4962,2.527,NQC,2.8227,2.479,2.4312,2.3849,2.3803,2.4158,2.378,2.5831,2.4412,2.4569,2.3907,2.3844,1,A,biology|chemistry|physics,english,Bachelor of Medicine,5
001B,MEDICINE,university_of_peradeniya,biological_science,2.1625,2.1812,2.1587,2.1817,2.1565,2.2153,2.2065,2.2008,2.1781,2.1833,2.2201,NQC,2.2856,2.201,2.352,2.1799,2.1581,2.1963,2.1617,2.1629,2.1597,2.1757,2.1588,2.1918,2.1706,1,B,biology|chemistry|physics,english,Bachelor of Medicine,5
001C,MEDICINE,university_of_sri_jayewardenepura,biological_science,2.0988,2.1131,2.1097,2.128,2.1104,2.1047,2.1309,2.1027,2.1135,2.0997,2.1309,NQC,NQC,2.1173,2.131,2.1062,2.1248,NQC,2.1019,2.1186,NQC,2.1252,NQC,2.1411,2.1103,1,C,biology|chemistry|physics,english,Bachelor of Medicine,5
001D,MEDICINE,university_of_kelaniya,biological_science,2.0028,2.0126,2.0369,2.0614,2.0099,2.0245,2.0245,2.0192,2.0058,NQC,NQC,2.0257,NQC,2.0332,2.0224,2.0032,2.0228,2.0144,2.0102,2.0074,NQC,2.0055,2.0111,2.01,2.0135,1,D,biology|chemistry|physics,english,Bachelor of Medicine,5
001E,MEDICINE,university_of_jaffna,biological_science,1.8877,1.6662,1.7774,1.6734,1.7799,1.6672,1.8412,NQC,NQC,1.8577,1.6691,1.7713,1.7482,1.683,1.6618,1.7804,1.7666,1.6752,1.7814,1.6667,1.7126,1.6683,1.6892,1.7179,NQC,1,E,biology|chemistry|physics,english,Bachelor of Medicine,5
001F,MEDICINE,university_of_ruhuna,biological_science,1.9245,1.9237,1.9223,1.983,1.9235,1.9304,1.9231,1.9309,1.9215,NQC,NQC,1.9247,NQC,NQC,1.9666,1.9269,1.9349,1.9549,1.9247,1.9247,1.9507,1.9236,1.9839,1.9223,1.9227,1,F,biology|chemistry|physics,english,Bachelor of Medicine,5
001G,MEDICINE,university_of_moratuwa,biological_science,1.8762,1.8568,1.8544,1.8715,1.877,NQC,1.8515,1.848,1.8685,1.8575,NQC,NQC,NQC,NQC,NQC,1.8874,1.8505,1.8622,1.8531,NQC,NQC,NQC,NQC,NQC,1.8802,1,G,biology|chemistry|physics,english,Bachelor of Medicine,5
001H,MEDICINE,eastern_university_sri_lanka,biological_science,NQC,NQC,NQC,1.5776,NQC,1.5163,NQC,NQC,1.8131,NQC,1.5516,NQC,NQC,1.6524,1.6025,1.7744,1.7123,1.6202,NQC,1.5275,1.4926,1.5883,1.6298,NQC,NQC,1,H,biology|chemistry|physics,english,Bachelor of Medicine,5
001K,MEDICINE,rajarata_university_of_sri_lanka,biological_science,1.8962,1.8191,1.8267,1.8212,1.8167,1.8889,1.816,1.8311,1.8201,NQC,NQC,1.8663,NQC,NQC,1.8384,1.8472,1.8292,1.8232,1.819,1.8314,1.819,1.8738,1.8289,1.8169,1.8227,1,K,biology|chemistry|physics,english,Bachelor of Medicine,5
001L,MEDICINE,sabaragamuwa_university_of_sri_lanka,biological_science,1.9197,1.6464,1.7836,NQC,1.7997,1.8137,1.8096,1.8474,1.8005,NQC,NQC,1.7839,NQC,NQC,NQC,NQC,1.7166,1.6485,NQC,NQC,NQC,1.6579,1.648,1.7361,1.7692,1,L,biology|chemistry|physics,english,Bachelor of Medicine,5
001M,MEDICINE,wayamba_university_of_sri_lanka,biological_science,1.9044,1.6996,1.7756,1.7569,1.7781,1.6996,1.8069,1.8335,NQC,NQC,NQC,NQC,NQC,NQC,1.7627,1.7908,1.7127,1.7082,1.7781,1.7018,1.7466,NQC,1.7704,1.7225,1.8032,1,M,biology|chemistry|physics,english,Bachelor of Medicine,5
001U,MEDICINE,uva_wellassa_university_of_sri_lanka,biological_science,NQC,1.6454,NQC,NQC,NQC,1.5375,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.6583,1.6207,NQC,1.8055,NQC,NQC,1.5373,1.4761,1.5978,NQC,NQC,1.8222,1,U,biology|chemistry|physics,english,Bachelor of Medicine,5
002B,DENTAL SURGERY,university_of_peradeniya,biological_science,1.8054,1.6256,1.7634,1.5707,1.7681,1.4818,1.7994,1.8153,1.7901,1.8172,1.5495,1.7265,1.7468,1.6004,1.576,1.7318,1.7001,1.6062,1.7717,1.5122,1.4402,1.5754,NQC,1.7085,1.7599,2,B,biology|chemistry|physics,english,Bachelor of Dental Surgery,5
002C,DENTAL SURGERY,university_of_sri_jayewardenepura,biological_science,1.8026,1.626,NQC,1.5718,NQC,1.5162,NQC,NQC,1.7935,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.7053,NQC,NQC,NQC,NQC,NQC,1.5915,NQC,NQC,2,C,biology|chemistry|physics,english,Bachelor of Dental Surgery,5
003B,VETERINARY SCIENCE,university_of_peradeniya,biological_science,1.7247,1.6125,1.7223,1.5366,1.7313,1.4285,1.726,1.7242,1.7326,1.6952,1.4931,1.5327,1.6663,1.5914,1.556,1.6891,1.6939,1.5833,1.7261,1.4768,1.4252,1.5625,1.5838,1.6219,1.7215,3,B,biology|chemistry|physics,english,Bachelor of Veterinary Science,5
058A,BIOCHEMISTRY & MOLECULAR BIOLOGY,university_of_colombo,biological_science,1.7665,1.6023,1.7503,1.5604,1.7251,1.4099,1.7503,1.7529,1.7249,1.7634,1.5195,1.5308,1.6304,1.5381,1.5367,1.6925,1.6829,1.5805,1.7474,1.4769,1.5102,1.5401,1.5623,1.6748,1.7379,58,A,biology|chemistry|physics,english,Bachelor of Science|Bachelor of Science Honours in Biochemistry and Molecular Biology|Bachelor of Science Honours in Molecular Biology and Biotechnology,3|4|4
039B,AGRICULTURAL TECHNOLOGY & MANAGEMENT,university_of_peradeniya,biological_science,1.2144,1.2549,1.2933,1.2716,1.3015,1.2419,1.2977,1.3005,1.3405,1.2388,1.0787,0.8058,1.1665,1.1781,1.2275,1.2514,1.2573,1.2954,1.3021,1.318,1.1868,1.255,1.2812,1.3604,1.3026,39,B,biology|chemistry|physics|mathematics|agricultural_science,english,Bachelor of Science in Agricultural Technology and Management,4
004E,AGRICULTURE,university_of_jaffna,biological_science,0.6275,0.6256,0.7552,0.674,0.7413,0.6278,0.78,0.905,0.7266,0.7086,0.6708,0.7067,0.63,0.7011,0.6326,0.6463,0.7096,0.6497,0.7292,0.6351,0.6345,0.7045,0.7015,0.7747,0.6513,4,E,biology|chemistry|physics|mathematics|agricultural_science,english,Bachelor of Science Honours in Agriculture,4
004H,AGRICULTURE,eastern_university_sri_lanka,biological_science,0.621,0.5565,0.7524,0.6606,0.8715,0.4572,0.7131,0.7314,0.7527,NQC,NQC,NQC,0.5403,0.6,0.5485,0.6522,0.6938,0.4993,0.8474,0.602,0.4731,0.7081,1.5712,0.7774,0.6494,4,H,biology|chemistry|physics|mathematics|agricultural_science,english,Bachelor of Science Honours in Agriculture,4
