label,value
"University of Colombo",university_of_colombo
"University of Peradeniya",university_of_peradeniya
"University of Sri Jayewardenepura",university_of_sri_jayewardenepura
"University of Kelaniya",university_of_kelaniya
"University of Jaffna",university_of_jaffna
"University of Ruhuna",university_of_ruhuna
"University of Moratuwa",university_of_moratuwa
"Eastern University, Sri Lanka",eastern_university_sri_lanka
"Rajarata University of Sri Lanka",rajarata_university_of_sri_lanka
"Sabaragamuwa University of Sri Lanka",sabaragamuwa_university_of_sri_lanka
"Wayamba University of Sri Lanka",wayamba_university_of_sri_lanka
"Uva Wellassa University of Sri Lanka",uva_wellassa_university_of_sri_lanka
"South Eastern University of Sri Lanka",south_eastern_university_of_sri_lanka
"University of Vavuniya, Sri Lanka",university_of_vavuniya_sri_lanka
"University of Colombo School of Computing",university_of_colombo_school_of_computing
"Eastern University - Trincomalee Campus",eastern_university_trincomalee_campus
"Rajarata  University of Sri Lanka",rajarata_university_of_sri_lanka
"University of Colombo - Sri Palee Campus",university_of_colombo_sri_palee_campus
"University of Jayewardenepura",university_of_jayewardenepura
"University of Sabaragamuwa",university_of_sabaragamuwa
"The Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka",the_gampaha_wickramarachchi_university_of_indigenous_medicine_sri_lanka
"University of the Visual & Performing Arts",university_of_the_visual_and_performing_arts
"Swami Vipulananda Institute of Aesthetic Studies",swami_vipulananda_institute_of_aesthetic_studies
